City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Vila Franca Do Campo,PT,2022-04-26 07:33:38,37.7167,-25.4333,57.2,79,17,5.88
237,Dali,CN,2022-04-26 07:33:38,25.7,100.1833,80.56,22,1,9.06
238,Constitucion,CL,2022-04-26 07:33:39,-35.3333,-72.4167,56.12,82,100,16.35
239,Saldanha,ZA,2022-04-26 07:33:39,-33.0117,17.9442,55.45,66,77,12.39
240,Southbridge,US,2022-04-26 07:33:40,42.0751,-72.0334,46.42,75,100,1.01
241,Yarada,IN,2022-04-26 07:33:40,17.65,83.2667,95.32,55,20,13.8
242,Madarounfa,NE,2022-04-26 07:33:40,13.3087,7.156,86.23,17,32,12.59
243,Caucaia,BR,2022-04-26 07:33:41,-3.7361,-38.6531,78.75,83,40,11.5
244,Sabancuy,MX,2022-04-26 07:33:41,18.9667,-91.1833,79.56,71,79,10.36
245,Geraldton,AU,2022-04-26 07:31:26,-28.7667,114.6,70.21,64,75,13.8
246,Gamba,GA,2022-04-26 07:33:42,-2.65,10.0,81.52,77,100,3.29
247,Bairiki,KI,2022-04-26 07:33:42,1.3292,172.9752,80.6,94,40,6.91
248,Dingle,PH,2022-04-26 07:33:43,10.9995,122.6711,83.59,75,97,10.2
249,Tura,IN,2022-04-26 07:33:43,25.5198,90.2201,92.35,43,0,6.35
250,Evensk,RU,2022-04-26 07:33:44,61.95,159.2333,31.69,79,100,17.74
251,Indianola,US,2022-04-26 07:32:55,41.3581,-93.5574,32.92,82,32,6.6
252,Oranjemund,NA,2022-04-26 07:33:44,-28.55,16.4333,67.95,32,5,8.12
253,Acapulco,MX,2022-04-26 07:32:48,16.8634,-99.8901,78.62,73,75,5.75
254,Kaeo,NZ,2022-04-26 07:33:45,-35.1,173.7833,62.33,84,92,1.7
255,Easton,US,2022-04-26 07:32:44,40.6884,-75.2207,53.67,73,100,8.05
256,Kidal,ML,2022-04-26 07:33:46,18.4411,1.4078,82.42,15,0,12.48
257,Betioky,MG,2022-04-26 07:33:46,-23.7167,44.3833,87.1,44,51,10.31
258,Rawson,AR,2022-04-26 07:31:03,-43.3002,-65.1023,60.26,39,100,28.39
259,Tasiilaq,GL,2022-04-26 07:33:47,65.6145,-37.6368,30.36,95,100,2.71
260,Mayo,US,2022-04-26 07:33:47,38.8876,-76.5119,59.25,92,100,4.61
261,Fallon,US,2022-04-26 07:33:48,39.4735,-118.7774,58.91,35,40,4.61
262,Calvinia,ZA,2022-04-26 07:33:48,-31.4707,19.776,51.62,58,0,11.5
263,Bali,ID,2022-04-26 07:33:48,-8.5,115.0,86.97,73,94,5.03
264,Biltine,TD,2022-04-26 07:33:49,14.5333,20.9167,93.45,29,97,7.94
265,Kasongo-Lunda,CD,2022-04-26 07:33:49,-6.4667,16.8167,78.75,79,97,1.43
266,Brae,GB,2022-04-26 07:33:50,60.3964,-1.353,45.0,63,75,17.07
267,Sterlibashevo,RU,2022-04-26 07:33:50,53.4376,55.2578,58.68,64,100,11.5
268,Aktau,KZ,2022-04-26 07:33:50,43.65,51.2,81.18,32,0,12.95
269,Port Hardy,CA,2022-04-26 07:33:51,50.6996,-127.4199,42.8,93,75,3.44
270,Havelock,US,2022-04-26 07:29:04,34.8791,-76.9013,68.95,93,0,4.61
271,Kaniama,CD,2022-04-26 07:33:51,-7.5667,24.1833,71.49,87,100,4.88
272,Verkhoyansk,RU,2022-04-26 07:33:52,67.5447,133.385,27.21,73,100,2.42
273,Rafai,CF,2022-04-26 07:33:52,4.95,23.9167,82.33,60,95,4.56
274,Buchanan,LR,2022-04-26 07:33:53,5.8808,-10.0467,80.89,84,98,3.4
275,Fort Nelson,CA,2022-04-26 07:33:53,58.8053,-122.7002,38.79,81,100,6.91
276,Kargasok,RU,2022-04-26 07:33:53,59.0556,80.8572,46.9,86,100,4.45
277,Kampot,KH,2022-04-26 07:33:54,10.6167,104.1833,86.05,66,85,7.63
278,Plettenberg Bay,ZA,2022-04-26 07:34:54,-34.0527,23.3716,62.65,59,9,7.9
279,Ocos,GT,2022-04-26 07:34:55,14.5094,-92.1933,75.38,78,100,4.5
280,Bongandanga,CD,2022-04-26 07:34:55,1.5,21.05,79.52,75,91,3.98
281,Grand Gaube,MU,2022-04-26 07:34:55,-20.0064,57.6608,81.37,61,0,10.0
282,Walvis Bay,NA,2022-04-26 07:34:56,-22.9575,14.5053,61.75,67,0,2.3
283,Rupert,US,2022-04-26 07:34:56,42.6191,-113.6772,48.15,40,0,10.36
284,Torbay,CA,2022-04-26 07:34:57,47.6666,-52.7314,36.57,96,100,15.99
285,Turukhansk,RU,2022-04-26 07:34:57,65.8167,87.9833,26.31,81,86,3.74
286,Abu Samrah,SY,2022-04-26 07:34:57,35.3029,37.1841,82.29,20,1,3.09
287,Mweka,CD,2022-04-26 07:34:58,-4.85,21.5667,69.64,100,100,1.99
288,Weyburn,CA,2022-04-26 07:34:58,49.6668,-103.8511,26.82,80,8,17.27
289,Humberto De Campos,BR,2022-04-26 07:34:58,-2.5983,-43.4611,73.69,95,76,4.72
290,Solnechnyy,RU,2022-04-26 07:34:59,50.7214,136.6319,32.76,99,100,6.87
291,Mindelo,CV,2022-04-26 07:34:59,16.8901,-24.9804,71.15,78,20,13.8
292,Kahului,US,2022-04-26 07:35:00,20.8947,-156.47,73.85,84,40,13.8
293,Oyon,PE,2022-04-26 07:35:00,-10.6681,-76.7731,42.93,82,100,5.59
